account,date,total_pnl,avg_pnl,win_rate,trade_count,total_volume,Classification,sentiment_score,next_day_pnl,next_day_profitable
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.900056,-708.8872295584415,0.0259740259740259,462,6842632.02,Greed,1,1927735.720035,True
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.720035,574.4146960771752,0.4055423122765196,3356,54854631.95,Fear,-1,,False
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.446093,64.39826904062501,0.53125,320,797679.97,Greed,1,17098.727055,True
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.727055,4.839718951316161,0.4350410416076988,3533,5982611.5,Fear,-1,,False
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,-0.2,0.0,5,30351.0,Neutral,0,1793.160215,True
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1793.160215,358.63204299999995,0.8,5,159708.30000000002,Greed,1,29970.928216,True
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,29970.928216,26.382859345070425,0.4304577464788732,1136,12310719.5,Fear,-1,,False
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,121880.386016,18.831950867737948,0.4437577255871446,6472,3129795.22,Greed,1,10435.095669,True
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,10435.095669,1.5359281231969386,0.4327347659699735,6794,3622817.7,Fear,-1,,False
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,52215.729448,68.43476991874181,0.4744429882044561,763,2244613.0,Greed,1,116412.254606,True
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,116412.254606,47.11139401295022,0.5337919870497774,2471,7919556.56,Fear,-1,,False
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,0.0,0.0,0.0,3,477.0,Greed,1,0.0,False
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,0.0,0.0,0.0,2,46133.87,Greed,1,-5564.01614,False
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,-5564.01614,-206.07467185185183,0.3333333333333333,27,82312.05,Extreme Greed,2,215.754798,True
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,215.754798,2.696934975,0.1,80,61379.82,Neutral,0,36993.371011,True
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,36993.371011,237.1369936602564,0.4679487179487179,156,402974.53,Greed,1,-59349.677108,False
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,-59349.677108,-170.05638139828082,0.2636103151862464,349,575346.58,Fear,-1,,False
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,34983.381862,242.94015181944445,0.5277777777777778,144,655891.22,Greed,1,-20526.462526,False
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,-20526.462526,-5.958334550362845,0.3193033381712627,3445,16537484.2,Fear,-1,,False
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,7612.618288,39.856640251308896,0.4136125654450261,191,532207.47,Greed,1,45883.628955,True
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,45883.628955,325.41580819148936,0.5602836879432624,141,611688.99,Fear,-1,,False
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,16102.56859,128.82054872,0.216,125,810078.52,Greed,1,183403.024142,True
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,183403.024142,710.8644346589148,0.2441860465116279,258,1177449.09,Fear,-1,,False
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,0.0,0.0,0.0,88,99995.52,Extreme Greed,2,145563.448374,True
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,145563.448374,584.5921621445783,0.9518072289156626,249,438228.42,Neutral,0,160450.518105,True
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,160450.518105,3731.407397790698,0.8837209302325582,43,289936.95,Greed,1,110527.905862,True
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,110527.905862,164.72117118032787,0.4828614008941878,671,1883941.47,Fear,-1,,False
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,69282.42904,18.6694769711668,0.3381837779574239,3711,1834112.91,Greed,1,32683.214094,True
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,32683.214094,7.060534476992871,0.3655217109526895,4629,2508697.11,Fear,-1,,False
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,61076.167808,186.2078286829268,0.4115853658536585,328,2769684.87,Greed,1,613327.827224,True
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-19,613327.827224,161.14761619127694,0.4952706253284288,3806,34247716.57,Fear,-1,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,-7919.471032000002,-10.848590454794524,0.3068493150684931,730,4540452.9,Extreme Greed,2,-25991.506339,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,-25991.506339,-19.8560017868602,0.3315508021390374,1309,13339126.17,Neutral,0,111230.498007,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,111230.498007,65.31444392660012,0.3282442748091603,1703,33455719.11,Greed,1,223968.370893,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,223968.370893,59.93266547845865,0.3917580947283917,3737,76490050.69,Fear,-1,,False
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,0.0,0.0,0.0,223,727332.09,Greed,1,403501.648209,True
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,403501.648209,69.84622610507184,0.4156136402977324,5777,163514779.13,Fear,-1,,False
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,101539.274031,406.157096124,1.0,250,131367.84,Greed,1,6979.340871,True
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,6979.340871,12.20164487937063,0.2692307692307692,572,509692.65,Fear,-1,,False
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,327545.999992,1621.5148514455443,0.5148514851485149,202,3294849.97,Greed,1,98269.195073,True
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,98269.195073,105.43905050751071,0.4399141630901287,932,7547409.37,Fear,-1,,False
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,51737.579418,123.4787098281623,0.0286396181384248,419,965878.98,Greed,1,341945.434741,True
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,341945.434741,364.15914242918,0.3961661341853035,939,1993872.85,Fear,-1,,False
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,187842.08419,61.76984024662939,0.8240710292666886,3041,11184217.49,Extreme Greed,2,0.1627199999999999,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,0.1627199999999999,0.0271199999999999,0.1666666666666666,6,209.5,Neutral,0,37526.331877,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,37526.331877,36.935366020669285,0.8208661417322834,1016,2089293.61,Greed,1,136208.043913,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,136208.043913,27.882915847082906,0.7985670419651996,4885,11383531.66,Fear,-1,,False
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,14781.443047,9.511868112612612,0.4510939510939511,1554,5661783.44,Fear,-1,,False
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,0.0,0.0,0.0,15,34998.8,Greed,1,196303.792847,True
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,196303.792847,64.2355343085733,0.287630890052356,3056,6875178.28,Fear,-1,,False
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,11.717676000000012,0.2169940000000002,0.037037037037037,54,50397.380000000005,Greed,1,64510.169958,True
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,64510.169958,35.799206413984464,0.3401775804661487,1802,11629308.63,Fear,-1,,False
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,-9125.157325,-2.3950544160104985,0.3254593175853018,3810,2942740.7,Neutral,0,39978.37791,True
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,39978.37791,22.16096336474501,0.3242793791574279,1804,2483772.71,Greed,1,46257.358187,True
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,46257.358187,8.2572935,0.3073902177793645,5602,3688147.16,Fear,-1,,False
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,8695.357326,12.010162052486187,0.0759668508287292,724,2125807.78,Greed,1,100502.420808,True
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,100502.420808,48.31847154230769,0.3903846153846154,2080,7134710.2,Fear,-1,,False
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,49180.714882,11.679105885062931,0.418665400142484,4211,6889828.6,Greed,1,40314.808014,True
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,40314.808014,4.347078716195816,0.3200345050679318,9274,10738173.13,Fear,-1,,False
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,-14505.50575,-371.9360448717949,0.0,39,307215.74,Neutral,0,67900.247545,True
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,67900.247545,239.93020333922263,0.5477031802120141,283,476629.33,Greed,1,19451.742477,True
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,19451.742477,204.75518396842105,0.8842105263157894,95,77964.33,Fear,-1,,False
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,20925.513222,110.13428011578948,0.5526315789473685,190,643594.44,Greed,1,8751.751449,True
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,8751.751449,48.08654642307692,0.2692307692307692,182,559278.3,Fear,-1,,False
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,55.01524,6.1128044444444445,0.2222222222222222,9,16766.37,Greed,1,21703.816513,True
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,21703.816513,41.34060288190476,0.3238095238095238,525,4431556.89,Fear,-1,,False
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.50335699999994,0.149092384467881,0.2751677852348993,1043,11509295.89,Greed,1,2606.894756,True
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.894756,0.8474950442132638,0.2187906371911573,3076,23499792.29,Extreme Greed,2,62586.1816,True
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816,38.09262422398053,0.2099817407181984,1643,4723983.0,Neutral,0,1421755.845871,True
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,1421755.845871,1121.2585535260253,0.5670347003154574,1268,2746705.92,Greed,1,553818.000465,True
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,553818.000465,75.04308949390244,0.3910569105691057,7380,13421173.84,Fear,-1,,False
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,22488.500821,4.648305254443986,0.4386109962794543,4838,108877041.1,Fear,-1,,False
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,940157.212682,44.36796662019821,0.467531854648419,21190,68036326.2,Fear,-1,,False
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,11671.68,43.71415730337079,0.1535580524344569,267,727783.42,Greed,1,325441.977216,True
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,325441.977216,147.19221040976933,0.3722297602894618,2211,17917884.11,Fear,-1,,False
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,684215.002602,69.23150891449964,0.5692603460487706,9883,26617723.76,Greed,1,126967.976166,True
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,126967.976166,4.764098013808112,0.3848636073693295,26651,41437969.8,Fear,-1,,False
